# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cpu_core/cycles/'
# Event count (approx.): 3777751798
#
# Overhead  Command  Shared Object      Symbol                                                                                                 
# ........  .......  .................  .......................................................................................................
#
     0.11%  p2pd     p2pd               [.] math/rand.(*rngSource).Seed
     0.11%  p2pd     p2pd               [.] runtime.notesleep
     0.11%  p2pd     p2pd               [.] syscall.NetlinkRIB
     0.11%  p2pd     [vdso]             [.] 0x0000000000000b00
     0.11%  p2pd     p2pd               [.] runtime.newobject
     0.11%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/host/basic.(*BasicHost).background
     0.11%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a91c476
     0.10%  p2pd     p2pd               [.] runtime.(*mheap).nextSpanForSweep
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994acf8
     0.10%  p2pd     p2pd               [.] syscall.recvfrom
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995f33a
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae87b
     0.10%  p2pd     p2pd               [.] runtime.(*itabTableType).find
     0.10%  p2pd     p2pd               [.] runtime.runqgrab
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89977036
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86bec0
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8d260
     0.10%  p2pd     p2pd               [.] runtime.gcTrigger.test
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79dda9
     0.10%  p2pd     p2pd               [.] runtime.sigsend
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a60d734
     0.10%  p2pd     p2pd               [.] runtime.(*mheap).freeSpanLocked
     0.10%  p2pd     p2pd               [.] runtime.wakep
     0.10%  p2pd     p2pd               [.] runtime.(*gcCPULimiterState).updateLocked
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7afe5c
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdc4d0
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a920d48
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c08a0f
     0.10%  p2pd     p2pd               [.] runtime.deductAssistCredit
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c10bf
     0.10%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a8c4
     0.10%  p2pd     p2pd               [.] runtime.isSystemGoroutine
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae682
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a25d
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89caec38
     0.09%  p2pd     p2pd               [.] runtime.exitsyscallfast
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6fa75d
     0.09%  p2pd     p2pd               [.] runtime.checkTimersNoP
     0.09%  p2pd     p2pd               [.] net/netip.parseIPv6
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6d4b18
     0.09%  p2pd     p2pd               [.] net.interfaceTable
     0.09%  p2pd     p2pd               [.] encoding/xml.(*Decoder).unmarshal
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c60758
     0.09%  p2pd     p2pd               [.] runtime.wirep
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89944a2b
     0.09%  p2pd     p2pd               [.] runtime.(*scavengeIndex).free
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdb0f0
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7b747c
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a76e
     0.09%  p2pd     p2pd               [.] runtime.(*pageAlloc).allocToCache
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b6ca1d
     0.09%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa00040
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8c8f
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0bc16
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b6f8c9
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa001de
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d1c988
     0.08%  p2pd     p2pd               [.] runtime.newArenaMayUnlock
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae6cd
     0.08%  p2pd     p2pd               [.] runtime.(*mheap).initSpan
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89c121
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae677
     0.08%  p2pd     p2pd               [.] runtime.(*pageAlloc).update
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89b29e
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8c531
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a636984
     0.08%  p2pd     p2pd               [.] runtime.slicebytetostring
     0.08%  p2pd     p2pd               [.] reflect.resolveTypeOff
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86c08b
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff41fc
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae88e
     0.08%  p2pd     p2pd               [.] runtime.(*spanSet).reset
     0.08%  p2pd     p2pd               [.] runtime.(*consistentHeapStats).acquire
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a609040
     0.08%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c0ea9d
     0.08%  p2pd     p2pd               [.] runtime.(*mcache).prepareForSweep
     0.08%  p2pd     p2pd               [.] encoding/xml.(*Decoder).getc
     0.08%  p2pd     p2pd               [.] runtime.mapaccess1_faststr
     0.07%  p2pd     p2pd               [.] runtime.stopm
     0.07%  p2pd     p2pd               [.] runtime.wbBufFlush1
     0.07%  p2pd     p2pd               [.] runtime.startm
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899eb97e
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bb20
     0.07%  p2pd     p2pd               [.] runtime.(*mspan).refillAllocCache
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86c030
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec67e
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c10d1
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72a983
     0.07%  p2pd     p2pd               [.] runtime.memhash64
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8ac4b2
     0.07%  p2pd     [vdso]             [.] 0x0000000000000ab0
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a897812
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a4851
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a937447
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7419ea
     0.07%  p2pd     [nf_tables]        [k] nft_do_chain
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae8ba
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72bdf0
     0.07%  p2pd     p2pd               [.] runtime.(*atomicHeadTailIndex).incTail
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae86c
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cec42
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899e65f0
     0.06%  p2pd     p2pd               [.] runtime.gcDrainN
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae8e1
     0.06%  p2pd     p2pd               [.] runtime.(*sweepLocker).tryAcquire
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bab4
     0.06%  p2pd     p2pd               [.] runtime.mcall
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a702280
     0.06%  p2pd     p2pd               [.] github.com/multiformats/go-multiaddr.(*twrp).StringToBytes
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae64b
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a739e3f
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89952663
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8914f
     0.06%  p2pd     p2pd               [.] runtime.(*mheap).allocSpan
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994ad0d
     0.06%  p2pd     [hid]              [k] hid_report_raw_event
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a07f30
     0.06%  p2pd     p2pd               [.] runtime.mapaccess2_fast32
     0.06%  p2pd     p2pd               [.] runtime.sellock
     0.06%  p2pd     p2pd               [.] runtime.(*limiterEvent).stop
     0.06%  p2pd     p2pd               [.] net.newAddr
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a937531
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92e8d9
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae65a
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79dea2
     0.06%  p2pd     [vdso]             [.] 0x0000000000000b6e
     0.06%  p2pd     [nvidia_uvm]       [k] 0x00000000001589b4
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0bad1
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89bf0580
     0.06%  p2pd     p2pd               [.] runtime.(*mcache).refill
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c6d71
     0.06%  p2pd     p2pd               [.] runtime.(*unwinder).initAt
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8985d190
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72be00
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bb31
     0.06%  p2pd     p2pd               [.] runtime.scanframeworker
     0.06%  p2pd     p2pd               [.] runtime.runOneTimer
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a937793
     0.05%  p2pd     p2pd               [.] net.networkNumberAndMask
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa00043
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8719a
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8e4cc
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c61af7
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdafea
     0.05%  p2pd     p2pd               [.] github.com/multiformats/go-multiaddr.NewComponent
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a631afa
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994c189
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a917c77
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8d7b
     0.05%  p2pd     p2pd               [.] runtime.pidleget
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995daca
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff9201
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ca2267
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d4233d
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bc54
     0.05%  p2pd     p2pd               [.] runtime.(*moduledata).textAddr
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f0fa6b
     0.05%  p2pd     p2pd               [.] runtime.mProf_FlushLocked
     0.05%  p2pd     p2pd               [.] bufio.(*Writer).Write
     0.05%  p2pd     p2pd               [.] runtime.markrootSpans
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a635739
     0.05%  p2pd     p2pd               [.] runtime.bulkBarrierPreWriteSrcOnly
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a703350
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6ceb76
     0.05%  p2pd     p2pd               [.] runtime.forEachG
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5eee69
     0.05%  p2pd     p2pd               [.] runtime.(*mspan).heapBits
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec6a7
     0.05%  p2pd     p2pd               [.] runtime.removespecial
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899454c4
     0.05%  p2pd     p2pd               [.] runtime.mapaccess2
     0.05%  p2pd     p2pd               [.] runtime.checkIdleGCNoP
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990acee
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89950cbc
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b67e0e
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89960c85
     0.05%  p2pd     p2pd               [.] runtime.futexsleep
     0.05%  p2pd     p2pd               [.] runtime.timeSleepUntil
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a91fb29
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c6051a
     0.05%  p2pd     p2pd               [.] sync.(*Pool).Get
     0.05%  p2pd     p2pd               [.] sync.(*RWMutex).Unlock
     0.05%  p2pd     p2pd               [.] runtime.gcFlushBgCredit
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0756e
     0.04%  p2pd     p2pd               [.] sync.(*Pool).pin
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec69f
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa01237
     0.04%  p2pd     p2pd               [.] runtime.duffcopy
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c81ac0
     0.04%  p2pd     p2pd               [.] runtime.(*pageAlloc).allocRange
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899834e3
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89c11b
     0.04%  p2pd     p2pd               [.] runtime.(*pageCache).alloc
     0.04%  p2pd     p2pd               [.] github.com/multiformats/go-multistream.(*lazyClientConn[go.shape.string]).Read.func1
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a072a
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72be36
     0.04%  p2pd     p2pd               [.] runtime.mProf_Flush
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89c158
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdb011
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d42230
     0.04%  p2pd     p2pd               [.] runtime.exitsyscall
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86bffe
     0.04%  p2pd     p2pd               [.] runtime.memequal
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a920d50
     0.04%  p2pd     p2pd               [.] runtime.(*bucket).mp
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff920a
     0.04%  p2pd     p2pd               [.] runtime.procresize
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6356e6
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a895b2f
     0.04%  p2pd     p2pd               [.] runtime.(*gcControllerState).findRunnableGCWorker
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5ecd7
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a917c41
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89e97f90
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cebdd
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0bbc5
     0.04%  p2pd     p2pd               [.] runtime.(*gcControllerState).enlistWorker
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cd02a0
     0.04%  p2pd     p2pd               [.] runtime.forEachPInternal
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a701094
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a741a4b
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7b0c46
     0.04%  p2pd     p2pd               [.] runtime.(*activeSweep).end
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bad9
     0.04%  p2pd     p2pd               [.] runtime.execute
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e046b
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994acc0
     0.04%  p2pd     p2pd               [.] runtime.(*spanSetBlockAlloc).alloc
     0.04%  p2pd     p2pd               [.] runtime.park_m
     0.04%  p2pd     p2pd               [.] runtime.getitab
     0.04%  p2pd     p2pd               [.] runtime.(*mcache).nextFree
     0.04%  p2pd     p2pd               [.] net.addrTable
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997cecb
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89964fa0
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89965253
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8196b
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995f34e
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79dc21
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a729b5b
     0.04%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/security/noise.(*secureSession).Read
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6354f1
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae666
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994c1ac
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c08900
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89865f76
     0.03%  p2pd     p2pd               [.] runtime.binarySearchTree
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89950bdf
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72abfb
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a62b0d7
