# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cpu_core/cycles/'
# Event count (approx.): 3777751798
#
# Overhead  Command  Shared Object      Symbol                                                                                                 
# ........  .......  .................  .......................................................................................................
#
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0bbc5
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cb01a5
     0.07%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89fee470
     0.06%  p2pd     p2pd               [.] runtime.notesleep
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92eb5d
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8d7b
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6354f1
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a085
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8196b
     0.06%  p2pd     p2pd               [.] runtime.newArenaMayUnlock
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898623df
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa00184
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899834b5
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89862ef5
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae88a
     0.06%  p2pd     p2pd               [.] runtime.adjustpointers
     0.06%  p2pd     p2pd               [.] runtime.mapassign_faststr
     0.06%  p2pd     p2pd               [.] runtime.forEachPInternal
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ba38be
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a93797e
     0.06%  p2pd     p2pd               [.] runtime.(*mheap).allocNeedsZero
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8c95
     0.06%  p2pd     p2pd               [.] net/textproto.canonicalMIMEHeaderKey
     0.06%  p2pd     p2pd               [.] runtime.(*mcache).prepareForSweep
     0.06%  p2pd     p2pd               [.] runtime.scanframeworker
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c60758
     0.06%  p2pd     p2pd               [.] runtime.preemptall
     0.06%  p2pd     p2pd               [.] github.com/libp2p/go-netroute.(*routeSlice).Less
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c6d55
     0.06%  p2pd     p2pd               [.] runtime.(*bucket).mp
     0.06%  p2pd     p2pd               [.] runtime.systemstack.abi0
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72be70
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79def5
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a666
     0.06%  p2pd     p2pd               [.] runtime.(*gcControllerState).update
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89965204
     0.06%  p2pd     p2pd               [.] runtime.gcDrainN
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c61900
     0.06%  p2pd     p2pd               [.] runtime.(*timeHistogram).record
     0.06%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a937531
     0.06%  p2pd     p2pd               [.] sync.(*poolChain).popTail
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec67b
     0.05%  p2pd     p2pd               [.] runtime.shrinkstack
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff90c0
     0.05%  p2pd     p2pd               [.] runtime.gcResetMarkState.func1
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6081f0
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89976ffe
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899657e3
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a60d734
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff49a9
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a917c5e
     0.05%  p2pd     p2pd               [.] runtime.(*mcentral).uncacheSpan
     0.05%  p2pd     p2pd               [.] runtime.(*moduledata).textAddr
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89952ca8
     0.05%  p2pd     p2pd               [.] runtime.mProf_FlushLocked
     0.05%  p2pd     p2pd               [.] runtime.wirep
     0.05%  p2pd     p2pd               [.] runtime.modtimer
     0.05%  p2pd     p2pd               [.] runtime.(*gcWork).tryGet
     0.05%  p2pd     p2pd               [.] runtime.updateTimerPMask
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a07382
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5b3a0
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b87250
     0.05%  p2pd     p2pd               [.] runtime.(*mspan).init
     0.05%  p2pd     [nvidia_uvm]       [k] 0x0000000000166549
     0.05%  p2pd     p2pd               [.] runtime.park_m
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff920f
     0.05%  p2pd     p2pd               [.] runtime.runOneTimer
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa001db
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a9411
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a07a
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e045c
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c10b6
     0.05%  p2pd     p2pd               [.] runtime.stopTheWorldWithSema
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9374a5
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a895ab0
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995bfe5
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92efec
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899834da
     0.05%  p2pd     p2pd               [.] runtime.(*mspan).refillAllocCache
     0.05%  p2pd     p2pd               [.] net/netip.parseIPv6
     0.05%  p2pd     p2pd               [.] net/textproto.CanonicalMIMEHeaderKey
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae877
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ee7e0
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72be25
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990fcb0
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a741ad0
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a9442
     0.05%  p2pd     [igc]              [k] igc_tx_ctxtdesc
     0.05%  p2pd     p2pd               [.] runtime.(*mspan).nextFreeIndex
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cd9360
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a936408
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994acf8
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c6051a
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92eb56
     0.05%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae883
     0.04%  p2pd     p2pd               [.] runtime.sigfwdgo
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae642
     0.04%  p2pd     p2pd               [.] runtime.(*gcWork).dispose
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899efef5
     0.04%  p2pd     p2pd               [.] net.IP.IsLinkLocalUnicast
     0.04%  p2pd     p2pd               [.] net.(*Interface).Addrs
     0.04%  p2pd     p2pd               [.] runtime.(*stackScanState).addObject
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8ac483
     0.04%  p2pd     p2pd               [.] runtime.(*mheap).nextSpanForSweep
     0.04%  p2pd     p2pd               [.] runtime.(*gcControllerState).enlistWorker
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a62b0a9
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7b8d13
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a91fbe0
     0.04%  p2pd     p2pd               [.] runtime.bulkBarrierPreWrite
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b87810
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92f05f
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994c1ac
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c895af
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5defb8
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89b57e
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8bf0
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898a073f
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bc45
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995c3dd
     0.04%  p2pd     p2pd               [.] runtime.gcBgMarkWorker
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a62b0cf
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898645ba
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b66a40
     0.04%  p2pd     p2pd               [.] runtime.mProf_Malloc
     0.04%  p2pd     p2pd               [.] sync.(*Pool).pin
     0.04%  p2pd     p2pd               [.] runtime.(*pageAlloc).update
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a93799b
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79de68
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8ac4aa
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86c02d
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae864
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79dea2
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89964f67
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a739e2a
     0.04%  p2pd     p2pd               [.] runtime.(*itabTableType).find
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a0cc2
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f0de7e
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cec42
     0.04%  p2pd     p2pd               [.] runtime.makeslice
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8ac487
     0.04%  p2pd     p2pd               [.] runtime.stackpoolalloc
     0.04%  p2pd     p2pd               [.] syscall.Bind
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5e380
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9374cc
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c6d6d
     0.04%  p2pd     p2pd               [.] net.(*TCPConn).Read
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89945496
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c60630
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995f025
     0.04%  p2pd     p2pd               [.] runtime.(*workbuf).checknonempty
     0.04%  p2pd     p2pd               [.] runtime.mapdelete_fast64
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994ad0d
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8ac4a0
     0.04%  p2pd     p2pd               [.] bufio.(*Reader).ReadByte
     0.04%  p2pd     p2pd               [.] internal/bytealg.IndexByteString.abi0
     0.04%  p2pd     p2pd               [.] runtime.sweepone
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5eee4c
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae63b
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995f4e0
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a40ea8b
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995f589
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a9445
     0.04%  p2pd     p2pd               [.] runtime.execute
     0.04%  p2pd     p2pd               [.] runtime.binarySearchTree
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0c0c6
     0.04%  p2pd     [nf_conntrack]     [k] __nf_conntrack_find_get
     0.04%  p2pd     p2pd               [.] runtime.(*mheap).initSpan
     0.04%  p2pd     p2pd               [.] runtime.(*consistentHeapStats).release
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a740c57
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7b0145
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a40ea96
     0.04%  p2pd     p2pd               [.] net/http.(*persistConn).readLoop
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e046b
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a07fa5
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0c597
     0.04%  p2pd     p2pd               [.] runtime.(*scavengeIndex).free
     0.04%  p2pd     p2pd               [.] runtime.gcMarkDone.func1
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89942ffe
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89942b02
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a94cd
     0.04%  p2pd     p2pd               [.] runtime.gorecover
     0.04%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79dc21
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ca2070
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cd4720
     0.03%  p2pd     p2pd               [.] sort.insertionSort
     0.03%  p2pd     p2pd               [.] runtime.ready
     0.03%  p2pd     p2pd               [.] encoding/xml.(*Decoder).getc
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86c044
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a08b31
     0.03%  p2pd     p2pd               [.] runtime.releasepNoTrace
     0.03%  p2pd     p2pd               [.] runtime.(*pageAlloc).alloc
     0.03%  p2pd     p2pd               [.] runtime.(*gcControllerState).revise
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7b8ded
     0.03%  p2pd     p2pd               [.] unicode.is16
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7003f0
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a895bca
     0.03%  p2pd     p2pd               [.] runtime.SetFinalizer
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c6d5e
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b6ca96
     0.03%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p-kad-dht.(*IpfsDHT).dialPeer.deferwrap1
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c60862
     0.03%  p2pd     p2pd               [.] runtime.(*unwinder).initAt
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b82c5a
     0.03%  p2pd     p2pd               [.] runtime.(*mcentral).grow
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89b582
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b87a10
     0.03%  p2pd     p2pd               [.] runtime.mapiternext
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa00150
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8ac480
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998b504
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89958e2d
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff90c5
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89959bbf
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6134fc
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79c48f
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a8cf
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff9204
     0.03%  p2pd     p2pd               [.] net/http.send
     0.03%  p2pd     p2pd               [.] runtime.exitsyscallfast
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae66c
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f131d0
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f2a070
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6350a1
     0.03%  p2pd     p2pd               [.] gcWriteBarrier
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c08ad5
     0.03%  p2pd     [nf_tables]        [k] nft_do_chain
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec6a5
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec3b6
     0.03%  p2pd     p2pd               [.] encoding/xml.(*Decoder).text
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ca6da
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a4385
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a960
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a69edc2
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a25dcd
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995da37
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c81ea8
     0.03%  p2pd     p2pd               [.] runtime.siftdownTimer
     0.03%  p2pd     p2pd               [.] github.com/libp2p/go-netroute.(*routeSlice).Swap
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b6ca11
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a06e3f
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994683e
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5f5f7
     0.03%  p2pd     p2pd               [.] runtime.gcBgMarkWorker.func1
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5f37f
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a917c18
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a8b7
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89862370
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79de5d
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6d5bd1
     0.03%  p2pd     p2pd               [.] runtime.checkdead
     0.03%  p2pd     p2pd               [.] runtime.sighandler
     0.03%  p2pd     p2pd               [.] runtime.doSigPreempt
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff9201
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89952f40
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89932ed9
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a93180d
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a920d40
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995c338
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae663
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92eb77
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae88c
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec69d
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89960c7e
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae674
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89965408
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c1c638
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79c478
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a62b0c8
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a207e
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89965784
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89950ccc
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79c451
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bc05
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a3fb
     0.03%  p2pd     p2pd               [.] runtime.mapaccess1
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae630
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a920a25
     0.03%  p2pd     p2pd               [.] indexbytebody
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c10cb
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0c479
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff41fc
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72bdec
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d1cd10
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a542
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5f4adf
     0.03%  p2pd     p2pd               [.] runtime.(*unwinder).next
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5dbb74
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89864035
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a059
     0.03%  p2pd     p2pd               [.] net/netip.Addr.appendTo4
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898073f5
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a85c
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990d21a
     0.03%  p2pd     p2pd               [.] runtime.wbBufFlush.func1
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995fd1e
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72a9a3
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79c592
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0d3a1
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86c01c
     0.03%  p2pd     p2pd               [.] runtime.mapaccess1_fast64
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a710e6a
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899261fa
     0.03%  p2pd     p2pd               [.] runtime.mapiterinit
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a4bc5
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec675
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89bdfa0b
     0.03%  p2pd     p2pd               [.] context.(*timerCtx).Deadline
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86b486
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a940a
     0.03%  p2pd     p2pd               [.] runtime.(*pageCache).flush
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899467cf
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79c46b
     0.03%  p2pd     p2pd               [.] runtime.duffzero
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898073fa
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cd5930
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a744fd8
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995c01b
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899651c7
     0.03%  p2pd     p2pd               [.] runtime.(*spanSetBlockAlloc).alloc
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a700610
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d1c6c4
     0.03%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/host/resource-manager.(*fixedLimiter).GetStreamLimits
     0.03%  p2pd     p2pd               [.] github.com/libp2p/go-netroute.(*router).route
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9374a0
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899cd58b
     0.03%  p2pd     p2pd               [.] sort.partition
     0.03%  p2pd     p2pd               [.] runtime.isSystemGoroutine
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec00b
     0.03%  p2pd     p2pd               [.] runtime.(*gcControllerState).memoryLimitHeapGoal
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998b5a4
     0.03%  p2pd     p2pd               [.] runtime.isAbortPC
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995fe70
     0.03%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89b587
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a897859
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a7bb
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c10c5
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a6c70
     0.02%  p2pd     p2pd               [.] runtime.convT64
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a072a
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994aec0
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e5d86
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73f77d
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c870a0
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a40ea89
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89959cdd
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89bed2aa
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cec3a
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89c200
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89976770
     0.02%  p2pd     p2pd               [.] io.ReadAtLeast
     0.02%  p2pd     p2pd               [.] net.IP.IsLinkLocalMulticast
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899653f1
     0.02%  p2pd     p2pd               [.] runtime.(*gcControllerState).trigger
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdb5b6
     0.02%  p2pd     p2pd               [.] runtime.(*gcControllerState).findRunnableGCWorker
     0.02%  p2pd     p2pd               [.] runtime.gcFlushBgCredit
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b69981
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92e9df
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72b9d8
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0ba80
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b872c1
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995da43
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdafea
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a936247
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9375fb
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899003bf
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899474ac
     0.02%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c606f9
